level,number,name,abbr,parent
1,1,Pink,Pk,
2,1,Pink,Pk,1
3,1,Vivid pink,viv.Pk,1
3,2,Strong pink,s.Pk,1
3,3,Deep pink,dp.Pk,1
3,4,Light pink,l.Pk,1
3,5,Moderate pink,m.Pk,1
3,6,Dark pink,d.Pk,1
3,7,Pale pink,p.Pk,1
3,8,Grayish pink,gy.Pk,1
3,9,Pinkish white,pkWh,1
3,10,Pinkish gray,pkGy,1
2,3,Yellowish pink,yPk,1
3,25,Vivid yellowish pink,viv.yPk,3
3,26,Strong yellowish pink,s.yPk,3
3,27,Deep yellowish pink,dp.yPk,3
3,28,Light yellowish pink,l.yPk,3
3,29,Moderate yellowish pink,m.yPk,3
3,30,Dark yellowish pink,d.yPk,3
3,31,Pale yellowish pink,p.yPk,3
3,32,Grayish yellowish pink,gy.yPk,3
3,33,Brownish pink,brPk,3
2,25,Purplish pink,pPk,1
3,246,Brilliant purplish pink,brill.pPk,25
3,247,Strong purplish pink,s.pPk,25
3,248,Deep purplish pink,dp.pPk,25
3,249,Light purplish pink,l.pPk,25
3,250,Moderate purplish pink,m.pPk,25
3,251,Dark purplish pink,d.pPk,25
3,252,Pale purplish pink,p.pPk,25
3,253,Grayish purplish pink,gy.pPk,25
1,2,Red,R,
2,2,Red,R,2
3,11,Vivid red,viv.R,2
3,12,Strong red,s.R,2
3,13,Deep red,dp.R,2
3,14,Very deep red,v.dp.R,2
3,15,Moderate red,m.R,2
3,16,Dark red,d.R,2
3,17,Very dark red,v.d.R,2
3,18,Light grayish red,l.gy.R,2
3,19,Grayish red,gy.R,2
3,20,Dark grayish red,d.gy.R,2
3,21,Blackish red,bkR,2
3,22,Reddish gray,rGy,2
3,23,Dark reddish gray,d.rGy,2
3,24,Reddish black,rBk,2
2,26,Purplish red,pR,2
3,254,Vivid purplish red,viv.pR,26
3,255,Strong purplish red,s.pR,26
3,256,Deep purplish red,dp.pR,26
3,257,Very deep purplish red,v.dp.pR,26
3,258,Moderate purplish red,m.pR,26
3,259,Dark purplish red,d.pR,26
3,260,Very dark purplish red,v.d.pR,26
3,261,Light grayish purplish red,l.gy.pR,26
3,262,Grayish purplish red,gy.pR,26
1,3,Orange,O,
2,4,Reddish orange,rO,3
3,34,Vivid reddish orange,viv.rO,4
3,35,Strong reddish orange,s.rO,4
3,36,Deep reddish orange,dp.rO,4
3,37,Moderate reddish orange,m.rO,4
3,38,Dark reddish orange,d.rO,4
3,39,Grayish reddish orange,gy.rO,4
2,6,Orange,O,3
3,48,Vivid orange,viv.O,6
3,49,Brilliant orange,brill.O,6
3,50,Strong orange,s.O,6
3,51,Deep orange,dp.O,6
3,52,Light orange,l.O,6
3,53,Moderate orange,m.O,6
3,54,Brownish orange,brO,6
1,4,Brown,Br,
2,5,Reddish brown,rBr,4
3,40,Strong reddish brown,s.rBr,5
3,41,Deep reddish brown,dp.rBr,5
3,42,Light reddish brown,l.rBr,5
3,43,Moderate reddish brown,m.rBr,5
3,44,Dark reddish brown,d.rBr,5
3,45,Light grayish reddish brown,l.gy.rBr,5
3,46,Grayish reddish brown,gy.rBr,5
3,47,Dark grayish reddish brown,d.gy.rBr,5
2,7,Brown,Br,4
3,55,Strong brown,s.Br,7
3,56,Deep brown,dp.Br,7
3,57,Light brown,l.Br,7
3,58,Moderate brown,m.Br,7
3,59,Dark brown,d.Br,7
3,60,Light grayish brown,l.gy.Br,7
3,61,Grayish brown,gy.Br,7
3,62,Dark grayish brown,d.gy.Br,7
3,63,Light brownish gray,l.brGy,7
3,64,Brownish gray,brGy,7
3,65,Brownish black,brBk,7
2,9,Yellowish brown,yBr,4
3,74,Strong yellowish brown,s.yBr,9
3,75,Deep yellowish brown,dp.yBr,9
3,76,Light yellowish brown,l.yBr,9
3,77,Moderate yellowish brown,m.yBr,9
3,78,Dark yellowish brown,d.yBr,9
3,79,Light grayish yellowish brown,l.gy.yBr,9
3,80,Grayish yellowish brown,gy.yBr,9
3,81,Dark grayish yellowish brown,d.gy.yBr,9
1,5,Yellow,Y,
2,8,Orange yellow,OY,5
3,66,Vivid orange yellow,viv.OY,8
3,67,Brilliant orange yellow,brill.OY,8
3,68,Strong orange yellow,s.OY,8
3,69,Deep orange yellow,dp.OY,8
3,70,Light orange yellow,l.OY,8
3,71,Moderate orange yellow,m.OY,8
3,72,Dark orange yellow,d.OY,8
3,73,Pale orange yellow,p.OY,8
2,10,Yellow,Y,5
3,82,Vivid yellow,viv.Y,10
3,83,Brilliant yellow,brill.Y,10
3,84,Strong yellow,s.Y,10
3,85,Deep yellow,dp.Y,10
3,86,Light yellow,l.Y,10
3,87,Moderate yellow,m.Y,10
3,88,Dark yellow,d.Y,10
3,89,Pale yellow,p.Y,10
3,90,Grayish yellow,gy.Y,10
3,91,Dark grayish yellow,d.gy.Y,10
3,92,Yellowish white,yWh,10
3,93,Yellowish gray,yGy,10
2,12,Greenish yellow,gY,5
3,97,Vivid greenish yellow,viv.gY,12
3,98,Brilliant greenish yellow,brill.gY,12
3,99,Strong greenish yellow,s.gY,12
3,100,Deep greenish yellow,dp.gY,12
