notation,hueFamily,value,chroma,x,y,Y
N 0.2/,N,0.2,0,0.31006,0.31616,0.237
N 0.4/,N,0.4,0,0.31006,0.31616,0.467
N 0.6/,N,0.6,0,0.31006,0.31616,0.699
N 0.8/,N,0.8,0,0.31006,0.31616,0.943
N 1/,N,1,0,0.31006,0.31616,1.21
N 2/,N,2,0,0.31006,0.31616,3.126
N 3/,N,3,0,0.31006,0.31616,6.55
N 4/,N,4,0,0.31006,0.31616,12
N 5/,N,5,0,0.31006,0.31616,19.77
N 6/,N,6,0,0.31006,0.31616,30.03
N 7/,N,7,0,0.31006,0.31616,43.06
N 8/,N,8,0,0.31006,0.31616,59.1
N 9/,N,9,0,0.31006,0.31616,78.66
N 10/,N,10,0,0.31006,0.31616,102.57
